theta,radii,width
0.0,7.003673039391197,0.5117226146310562
0.3141592653589793,7.427508094125806,0.3116519693134235
0.6283185307179586,7.0928001069391815,0.42665922303286347
0.9424777960769379,5.667455224671169,0.6282396203340479
1.2566370614359172,9.777853328245762,0.5666999030440829
1.5707963267948966,7.06334845954607,0.23197832830459195
1.8849555921538759,2.479157587026503,0.12640659900362045
2.199114857512855,1.578833509209533,0.16189060072417702
2.5132741228718345,6.976985214057551,0.10549891210061497
2.827433388230814,7.199566667439904,0.37746629796677583
3.141592653589793,2.5774443032482095,0.2690160031510503
3.4557519189487724,3.4154678314337428,0.28507541384882484
3.7699111843077517,9.68761167660394,0.764127726557741
4.084070449666731,6.94507097779336,0.08713490880331792
4.39822971502571,4.663832592599513,0.3049419024767477
4.71238898038469,7.028126954490258,0.6150185002696655
5.026548245743669,5.117858739555744,0.764111721270678
5.340707511102648,9.287413700413996,0.3795119365680944
5.654866776461628,7.397692988979715,0.2642245183334552
5.969026041820607,6.224390336737007,0.4456498689401395
