theta,z,r,x,y
-12.566370614359172,-2.0,5.0,2.4492935982947065e-15,5.0
-12.312504541341815,-1.9595959595959596,4.840016324864809,1.2155603579133674,4.684887516390055
-12.058638468324459,-1.9191919191919191,4.683297622691562,2.277004018339723,4.092496710221425
-11.8047723953071,-1.878787878787879,4.529843893480257,3.125950196181141,3.2784022130140564
-11.550906322289745,-1.8383838383838385,4.379655137230895,3.721504344514122,2.3090657276992963
-11.297040249272387,-1.797979797979798,4.232731353943475,4.041844657311235,1.256784182276649
-11.04317417625503,-1.7575757575757576,4.089072543617998,4.0844410113700045,0.19456590556760672
-10.789308103237673,-1.7171717171717171,3.9486787062544635,3.864976376998076,-0.8087157290879483
-10.535442030220317,-1.6767676767676767,3.8115498418528717,3.415124928701299,-1.692582027049679
-10.281575957202959,-1.6363636363636362,3.6776859504132227,2.779409591633427,-2.408372120707869
-10.027709884185603,-1.595959595959596,3.5470870319355168,2.0114106894387542,-2.9216525204987382
-9.773843811168245,-1.5555555555555556,3.419753086419753,1.1696244407556795,-3.213516740218478
-9.519977738150889,-1.5151515151515151,3.295684113865932,0.3132746918445475,-3.280761001023692
-9.266111665133531,-1.4747474747474747,3.1748801142740537,-0.5016354901033312,-3.1350000917195553
-9.012245592116173,-1.4343434343434343,3.057341087644118,-1.2257813991897992,-2.800856027645337
-8.758379519098817,-1.393939393939394,2.943067033976125,-1.819283334101966,-2.313406950092409
-8.50451344608146,-1.3535353535353534,2.8320579532700743,-2.253643649384175,-1.715121731035631
-8.250647373064103,-1.3131313131313131,2.724313845525967,-2.5127825739094414,-1.0525253750772592
-7.996781300046746,-1.2727272727272727,2.6198347107438016,-2.593168570878146,-0.3728413531622419
-7.742915227029389,-1.2323232323232323,2.518620548923579,-2.5031019789027704,0.27915936787638657
-7.489049154012032,-1.1919191919191918,2.420671360065299,-2.2612649714100246,0.8639042554093627
-7.235183080994675,-1.1515151515151514,2.325987144168962,-1.8946931924182733,1.3492049145489857
